study_id;median_N;se_N;N;total_SNP;mean_beta;result_lin_reg;delta_prop;over_threshold;beta_PZ;se_beta_PZ;intercept_PZ;se_intercept_PZ
FINNGEN_R6_AB1_AMOEBIASIS;0.9999983182731146;0.06687312480651651;234539.0;6217600;-0.0008508960981728637;Row(beta=0.9999969601631165, beta_stderr=3.6933241176484444e-07, intercept=8.155089403771854e-07, intercept_stderr=2.2457103909800935e-07);0.00018141901438477217;1085;0.9999969601631165;3.6933241176484444e-07;8.155089403771854e-07;2.2457103909800935e-07
FINNGEN_R6_AB1_ATYPICAL_CNS_VIRUS;0.9999971692196724;0.06758313422787889;259186.0;7179350;0.0002266487091449934;Row(beta=0.9999964833259583, beta_stderr=3.416156175717333e-07, intercept=8.184456419257913e-07, intercept_stderr=2.0968192870896019e-07);0.00016147649234211504;1114;0.9999964833259583;3.416156175717333e-07;8.184456419257913e-07;2.0968192870896019e-07
FINNGEN_R6_AB1_BACT_BIR_OTHER_INF_AGENTS;0.9999977223042665;0.1026509295922326;260405.0;11228046;0.0001910529044857663;Row(beta=0.999998927116394, beta_stderr=2.757049060164718e-07, intercept=2.8995796697017795e-07, intercept_stderr=1.6954030002125364e-07);0.00010922064088234528;1165;0.999998927116394;2.757049060164718e-07;2.8995796697017795e-07;1.6954030002125364e-07
FINNGEN_R6_AB1_BACT_INTEST_OTH;0.9999999228574727;0.08507915072998093;237769.0;12560570;-0.00013930482215377456;Row(beta=0.999997615814209, beta_stderr=2.6023641908068385e-07, intercept=6.403562906598381e-07, intercept_stderr=1.6113325784772314e-07);9.991410967108053e-05;1172;0.999997615814209;2.6023641908068385e-07;6.403562906598381e-07;1.6113325784772314e-07
FINNGEN_R6_AB1_CHLAMYDIA_OTHER;0.9999973151510555;0.07002943756521655;254601.0;10664769;-0.00021138547398451876;Row(beta=0.9999980926513672, beta_stderr=2.8177441890875343e-07, intercept=6.614619678657618e-07, intercept_stderr=1.7444243383124558e-07);0.00011435247444300857;1163;0.9999980926513672;2.8177441890875343e-07;6.614619678657618e-07;1.7444243383124558e-07
FINNGEN_R6_AB1_CHOLERA;0.9999970283398716;0.05425307727791479;235386.0;10169620;-0.0006095996939903887;Row(beta=0.9999974370002747, beta_stderr=2.867316197807668e-07, intercept=2.4363350803469075e-07, intercept_stderr=1.7760625325990986e-07);0.00011914168600918565;1158;0.9999974370002747;2.867316197807668e-07;2.4363350803469075e-07;1.7760625325990986e-07
FINNGEN_R6_AB1_CMV;0.9999984198451377;0.08113768107001344;254447.0;8256080;0.00022019082421683743;Row(beta=0.999999463558197, beta_stderr=3.1957071655597247e-07, intercept=3.793205394231336e-07, intercept_stderr=1.956076687292807e-07);0.0001430003956807065;1133;0.999999463558197;3.1957071655597247e-07;3.793205394231336e-07;1.956076687292807e-07
FINNGEN_R6_AB1_EARLY_SYPHILIS;1.0000000970558023;0.1195634800998376;253537.0;7326507;-5.128164076035361e-06;Row(beta=0.9999982118606567, beta_stderr=3.371365266957582e-07, intercept=2.86411761862837e-07, intercept_stderr=2.0919756593684724e-07);0.00015897356776749114;1119;0.9999982118606567;3.371365266957582e-07;2.86411761862837e-07;2.0919756593684724e-07
FINNGEN_R6_AB1_ERYSIPELAS;0.9999989595623752;0.11704487713604884;246915.0;15424956;-1.104665452528919e-05;Row(beta=0.9999973177909851, beta_stderr=2.3467913479180424e-07, intercept=7.745309744677797e-07, intercept_stderr=1.518149304047256e-07);8.881198495309673e-05;1188;0.9999973177909851;2.3467913479180424e-07;7.745309744677797e-07;1.518149304047256e-07
FINNGEN_R6_AB1_GASTROENTERITIS_NOS;0.9999963150076818;0.10324692835563058;253023.0;15931127;-1.0151824162600088e-08;Row(beta=0.9999977350234985, beta_stderr=2.3720710373709153e-07, intercept=4.630066996469395e-07, intercept_stderr=1.5261551311596122e-07);8.712115531033218e-05;1185;0.9999977350234985;2.3720710373709153e-07;4.630066996469395e-07;1.5261551311596122e-07
